Name,OVR,Stat1_PAC_GK-DIV,Stat2_SHO_GK-HAN,Stat3_PAS_GK-KIC,Stat4_DRI_GK-REF,Stat5_DEF_GK-SPD,Stat6_PHY_GK-POS,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Alternative positions,Age,Nation,League,Team,play style,Height_cm,Weight_kg
Thelma Eninger,73,68,70,73,77,53,47,70,67,70,72,67,69,62,71,68,70,70,79,74,68,76,79,83,68,79,78,56,49,47,58,51,48,62,36,57,RW,3,3,Right,"CAM, RM",22,France,Arkema PL,FC Nantes,"First Touch, Press Proven, Tiki Taka",158.0,48.0
Niamh Fahey,73,46,40,63,62,78,60,55,39,35,32,57,40,34,50,57,49,46,75,67,56,53,61,69,77,70,66,79,73,80,78,72,63,69,49,77,CB,3,2,Right,None,36,Republic of Ireland,Barclays WSL,Liverpool,Intercept,170.0,63.0
Jana,73,68,49,63,62,75,67,67,69,53,45,60,48,23,62,63,45,50,75,69,37,50,60,65,78,75,71,70,65,78,80,69,71,62,68,68,CB,3,2,Right,LB,22,Spain,Liga F,FC Barcelona,Slide Tackle,163.0,53.0
Mia Fishel,73,75,74,65,72,23,68,75,75,68,76,72,72,75,71,75,57,60,68,57,65,73,69,53,67,74,76,15,78,19,17,15,91,68,83,24,ST,4,3,Right,None,23,United States,Barclays WSL,Chelsea,"Flair, Power Header",170.0,67.0
Ana Franco,73,79,69,70,74,45,68,79,79,70,70,65,69,69,72,70,69,71,76,60,69,75,76,71,65,74,67,45,55,35,50,45,76,66,72,60,LM,4,3,Right,"RM, LW",25,Spain,Liga F,Levante UD,Technical,174.0,56.0
Naima García,73,77,71,68,76,43,65,75,78,77,71,69,72,71,65,71,64,72,71,65,65,78,78,67,80,74,72,41,65,45,37,32,73,85,61,49,ST,3,4,Left,LM,26,Spain,Liga F,Real Betis,None,160.0,54.0
Sonia Majarín,73,68,52,65,63,71,71,69,68,55,51,50,55,47,52,65,50,43,78,70,45,55,63,64,72,73,62,70,66,70,75,72,75,60,74,75,CDM,3,2,Left,CB,21,Spain,Liga F,Levante Badalona,None,170.0,59.0
Christy Gavory,73,70,68,72,78,62,56,73,67,69,64,78,73,52,61,73,71,71,74,71,70,78,83,90,68,76,72,71,48,59,65,56,51,77,39,75,CM,3,3,Right,None,26,France,Arkema PL,Havre AC,"Anticipate, Incisive Pass",156.0,48.0
Chasity Grant,73,71,66,69,72,37,69,72,70,77,70,62,66,48,60,71,80,43,72,55,65,72,68,60,70,75,68,30,45,28,48,32,67,67,72,65,LW,3,3,Right,"RW, LM",23,Holland,Barclays WSL,Aston Villa,"Bruiser, Whipped Pass",167.0,63.0
Malgorzata Grec,73,53,38,46,54,72,82,46,59,35,33,57,31,34,34,45,32,31,57,44,41,53,41,32,67,60,58,71,77,73,73,65,83,68,92,76,CB,3,2,Right,None,25,Poland,Arkema PL,Dijon FCO,"Bruiser, Jockey",183.0,76.0
Svava Rós Gudmundsdóttir,73,71,72,70,72,36,71,72,70,78,71,74,72,69,69,69,61,65,77,71,57,74,63,52,69,75,70,34,73,31,31,32,82,71,74,60,ST,3,3,Right,None,28,Iceland,NWSL,NJ/NY Gotham,None,177.0,68.0
Sofia Guellati,73,49,48,58,57,75,71,61,39,55,45,54,43,40,63,43,55,44,69,63,51,57,44,55,73,59,61,73,74,74,77,74,77,63,72,78,CB,3,2,Right,None,32,Algeria,Arkema PL,En Avant Guingamp,Bruiser,171.0,61.0
Maika Hamano,73,76,70,62,78,49,49,76,76,73,76,60,67,76,67,67,43,60,71,60,54,77,83,89,64,79,65,46,58,45,54,43,63,66,46,33,CAM,4,4,Right,CM,20,Japan,Barclays WSL,Chelsea,"Finesse Shot, First Touch, Incisive Pass, Technical",165.0,56.0
Tuva Hansen,73,61,42,59,64,77,65,69,55,35,49,45,25,31,44,38,64,36,71,58,62,61,65,66,68,66,72,74,70,77,79,79,72,66,65,64,RB,2,3,Right,"CB, LB",27,Norway,GPFBL,FC Bayern München,Whipped Pass,165.0,55.0
Uchenna Kanu,73,74,70,69,74,42,67,72,76,74,72,69,69,59,60,71,60,55,75,69,67,76,69,71,69,75,69,41,67,37,41,37,78,72,74,41,LM,4,3,Right,"ST, LW",27,Nigeria,NWSL,Rac. Louisville,Rapid,173.0,62.0
Isa Kardinaal,73,67,50,49,58,73,71,66,68,28,49,60,52,23,59,28,28,32,77,53,28,51,63,60,74,63,59,69,72,77,74,70,78,67,71,73,CB,2,2,Right,RB,19,Holland,Nederland Vrouwen Liga,Ajax,None,168.0,59.0
Sarah Kassi,73,40,57,66,69,69,68,34,45,55,58,59,55,53,57,66,48,53,77,74,58,67,64,73,69,74,61,71,55,70,73,66,56,68,67,74,CDM,3,2,Right,"CM, RB",21,Morocco,Arkema PL,FC Fleury 91,None,167.0,60.0
Justine Kielland,73,70,71,70,71,68,68,68,72,76,73,68,71,57,69,74,62,63,75,73,50,71,67,60,74,73,68,69,65,69,68,62,72,71,69,63,CM,2,2,Right,CDM,21,Norway,GPFBL,VfL Wolfsburg,None,166.0,58.0
Leanne Kiernan,73,81,76,64,76,28,59,82,80,79,77,75,76,75,71,63,60,65,73,51,63,78,78,69,68,77,59,25,52,32,19,21,65,70,52,59,ST,4,3,Right,"LM, CM",25,Republic of Ireland,Barclays WSL,Liverpool,"Flair, Technical",164.0,52.0
Kaja Korošec,73,67,74,70,75,58,66,70,65,73,73,83,77,52,66,71,59,72,74,73,68,76,68,67,68,79,68,59,57,49,68,53,69,74,68,52,CM,2,2,Left,CDM,22,Slovenia,Arkema PL,Paris FC,None,170.0,62.0
Alexandria Lamontagne,73,77,73,62,71,34,76,81,74,75,75,74,71,65,72,60,57,63,68,59,59,69,75,75,71,71,69,27,73,34,29,26,91,82,83,45,ST,3,3,Right,CAM,28,Canada,Arkema PL,AS Saint Étienne,None,168.0,65.0
Rose Lavaud,73,74,64,69,78,52,59,72,76,76,62,64,62,59,73,73,68,60,70,64,65,78,87,88,76,76,70,49,44,59,54,43,57,64,55,61,LM,3,3,Right,"RM, LW",32,France,Arkema PL,Dijon FCO,Incisive Pass,158.0,55.0
Rachael Laws,73,70,72,71,73,33,74,33,32,11,7,53,11,7,21,57,19,11,33,34,14,8,36,56,73,21,43,16,7,16,11,12,58,32,66,22,GK,3,1,Right,None,33,England,Barclays WSL,Liverpool,"1v1 Close Down, Cross Claimer, Long Ball Pass",175.0,66.0
Fiona Liaigre,73,76,46,59,64,70,67,78,75,58,44,54,40,40,48,56,59,42,66,55,53,61,71,69,73,64,53,74,54,69,72,75,69,79,62,62,LB,4,3,Right,RB,19,France,Arkema PL,Paris FC,Intercept,162.0,56.0
Lisa Lichtfus,73,69,75,68,76,43,71,41,47,9,9,51,8,9,12,34,12,11,25,21,14,15,44,47,67,17,33,13,12,12,13,11,52,36,45,18,GK,3,1,Right,None,24,Belgium,Arkema PL,Havre AC,"Cross Claimer, Deflector",172.0,60.0
Alexis Loera,73,39,42,59,65,78,68,40,38,41,37,54,43,32,40,52,62,35,65,58,56,61,63,73,71,70,56,79,61,82,80,79,61,65,70,70,CB,3,2,Right,None,25,United States,NWSL,Bay FC,Long Ball Pass,170.0,61.0
Vicky López,73,82,70,68,75,36,47,81,83,67,71,75,74,55,50,70,59,70,75,60,77,75,84,79,66,74,71,15,49,45,40,30,56,60,40,45,CAM,4,4,Right,LW,18,Spain,Liga F,FC Barcelona,Technical,161.0,54.0
Ainhoa Marín,73,73,72,71,73,40,66,75,72,72,77,66,69,61,67,71,72,60,72,71,69,71,71,79,71,75,77,41,55,32,42,41,70,81,65,51,RW,3,3,Right,RM,23,Spain,Liga F,RC Deportivo,Incisive Pass,165.0,60.0
Morgane Martins,73,74,46,65,66,70,68,76,72,54,46,50,44,43,42,56,70,39,74,60,67,62,70,91,67,67,62,74,59,69,73,70,72,81,65,60,LB,3,3,Left,None,26,Portugal,Arkema PL,FC Fleury 91,"Anticipate, Block, Intercept, Jockey",155.0,50.0
Andreia Faria,73,67,62,72,74,70,60,66,68,69,63,67,60,44,50,70,68,48,77,75,74,74,72,80,74,76,69,72,58,70,74,66,64,65,58,59,CDM,3,3,Right,CM,24,Portugal,Liga Portugal Feminino,SL Benfica,Long Ball Pass,164.0,55.0
Saskia Matheis,73,57,64,68,73,67,72,63,52,73,58,71,68,60,60,71,50,68,76,71,65,71,70,73,77,79,65,71,59,72,64,64,70,71,74,67,CM,3,3,Right,CDM,27,Germany,GPFBL,SV Werder Bremen,"Block, Jockey",170.0,59.0
Jasmine Matthews,73,52,61,63,68,76,67,53,52,66,62,62,66,32,50,69,29,55,78,72,50,69,57,55,72,72,67,75,65,79,76,76,67,63,69,67,CB,4,2,Left,CM,31,England,Barclays WSL,Liverpool,"Block, Intercept",171.0,58.0
Kayla McKenna,73,77,71,60,73,34,60,74,79,73,77,65,64,60,75,62,45,60,69,58,55,74,65,71,67,77,65,30,80,18,38,36,82,63,64,40,ST,3,3,Right,None,28,Jamaica,Liga F,Madrid CFF,None,170.0,60.0
Naomi Mégroz,73,63,59,64,63,74,68,65,62,46,64,55,60,29,59,50,74,58,74,49,51,54,60,56,72,76,60,72,72,74,77,68,76,65,69,65,LB,3,2,Right,RB,26,Switzerland,Schweizer Damen Liga,FC Zürich,Bruiser,168.0,59.0
Teresa Mérida,73,63,32,54,60,74,74,68,58,25,30,46,22,29,41,40,33,35,71,72,45,50,68,65,65,70,65,70,77,71,77,76,85,68,78,70,CB,2,2,Right,None,22,Spain,Liga F,Levante UD,None,169.0,59.0
Teagan Micah,73,71,72,76,73,30,73,33,26,5,8,57,8,5,14,31,12,10,19,26,12,9,28,51,71,18,26,7,9,8,13,11,45,37,40,32,GK,3,1,Right,None,26,Australia,Barclays WSL,Liverpool,None,176.0,64.0
María Miralles,73,72,70,73,74,32,75,32,33,6,10,55,6,6,13,34,14,12,21,17,11,13,22,31,63,18,15,11,9,7,14,11,43,23,33,17,GK,2,1,Right,None,27,Spain,Liga F,SD Eibar,None,159.0,60.0
María Molina,73,66,44,61,57,74,69,69,64,45,42,59,35,24,59,63,27,60,80,70,34,43,67,58,69,70,66,74,70,75,75,72,74,67,69,70,CB,2,2,Right,None,24,Spain,Liga F,Levante UD,Slide Tackle,173.0,64.0
Anna Moorhouse,73,71,74,72,73,41,71,39,43,8,8,54,11,7,18,38,12,11,25,22,14,10,38,57,70,13,25,8,8,10,14,12,59,35,62,12,GK,2,1,Right,None,29,England,NWSL,Orlando Pride,None,185.0,71.0
Shannon O'Brien,73,71,69,60,77,67,71,71,71,79,67,75,69,62,57,78,48,45,68,43,51,82,73,64,74,76,58,69,70,67,67,64,78,59,74,76,ST,3,3,Right,"LM, RM",22,England,Barclays WSL,Leicester City,None,171.0,64.0
Patri Ojeda,73,63,58,60,64,74,72,64,62,25,51,71,70,45,65,31,59,72,75,60,69,55,62,70,80,75,70,81,66,75,75,65,71,76,68,75,CB,3,2,Right,RB,33,Spain,Liga F,SD Eibar,Slide Tackle,166.0,52.0
Ria Öling,73,71,63,70,74,64,66,76,66,68,66,58,61,55,65,73,70,57,73,66,62,76,57,85,73,77,68,58,64,67,67,58,76,69,69,53,RM,3,3,Right,"CM, RB, RW",29,Finland,Sverige Liga,FC Rosengård,Rapid,169.0,61.0
Freja Siri Olofsson,73,44,52,70,70,70,71,49,40,57,52,51,55,44,48,68,62,42,80,75,51,65,67,61,75,79,68,70,66,72,70,69,72,47,81,74,CDM,3,3,Right,CM,26,Sweden,Liga F,Madrid CFF,None,174.0,69.0
Jasmin Pal,73,70,67,72,74,41,76,36,49,5,6,54,6,7,12,31,10,12,23,27,11,7,49,52,74,18,28,9,12,8,12,13,54,28,51,16,GK,2,1,Right,None,28,Austria,GPFBL,1. FC Köln,"Cross Claimer, Far Throw",174.0,65.0
Lucía Pardo,73,84,74,71,77,32,64,83,84,70,70,79,80,70,65,68,69,77,75,65,79,80,80,79,69,75,66,32,69,31,20,33,78,72,63,52,ST,3,3,Right,None,24,Spain,Liga F,Real Sociedad,Rapid,170.0,55.0
Lucy Parker,73,57,39,59,61,75,73,62,53,45,39,35,40,40,48,56,45,44,73,60,45,57,54,50,69,69,65,80,69,79,72,69,76,65,77,71,CB,3,2,Right,None,25,England,Barclays WSL,Aston Villa,None,173.0,66.0
Catalina Pérez,73,74,72,70,70,51,73,50,52,6,6,53,7,6,14,24,11,11,20,15,10,9,43,44,71,14,29,10,12,8,13,11,49,21,30,19,GK,2,1,Right,None,29,Colombia,GPFBL,SV Werder Bremen,None,171.0,62.0
Xènia Pérez,73,61,43,64,69,75,67,58,63,55,40,48,40,30,59,62,60,39,77,60,35,66,68,60,76,75,60,75,75,77,75,70,73,69,64,69,CB,2,2,Right,CDM,22,Spain,Liga F,Atlético de Madrid,None,171.0,56.0
Cindy Perrault,73,75,72,69,76,31,71,32,29,8,9,52,9,10,12,32,10,11,24,21,14,15,31,46,66,19,35,14,13,13,13,13,46,28,41,26,GK,3,1,Right,None,28,France,Arkema PL,En Avant Guingamp,Cross Claimer,172.0,63.0
Alayah Pilgrim,73,69,71,70,72,48,67,72,67,75,74,68,69,70,66,73,68,63,77,62,51,74,65,56,74,76,53,22,72,49,59,39,81,66,72,51,LW,3,3,Right,"RW, LM",21,Switzerland,Calcio A Femminile,Roma,None,171.0,64.0
Katharina Piljić,73,51,65,71,69,71,66,61,42,70,61,67,68,61,76,73,65,65,73,75,67,70,62,62,75,71,68,73,56,76,70,71,65,67,67,64,CDM,3,3,Right,CM,21,Germany,GPFBL,Leverkusen,"Long Ball Pass, Long Throw",171.0,62.0
Viktoria Pinther,73,66,70,55,71,37,65,68,65,79,71,69,68,70,57,49,38,43,75,50,42,73,60,67,75,74,56,28,73,24,44,32,79,59,73,49,ST,3,3,Right,"CAM, RM",25,Austria,Arkema PL,Dijon FCO,Technical,166.0,60.0
Esperanza Pizarro,73,64,72,75,71,60,67,64,64,77,74,71,70,66,61,76,72,71,77,74,66,71,56,73,65,75,71,60,62,54,69,50,69,74,68,54,CM,2,3,Left,ST,23,Uruguay,Liga F,SD Eibar,None,162.0,52.0
Julia Pollak,73,68,44,66,69,73,67,69,68,55,40,50,44,28,54,58,68,52,70,71,61,67,67,56,73,73,68,75,68,76,70,69,73,67,68,62,LB,2,2,Left,CB,22,Germany,GPFBL,RB Leipzig,Whipped Pass,174.0,62.0
Mariasun Quiñones,73,78,77,72,67,44,69,44,43,17,10,54,12,12,15,24,17,13,28,18,14,12,44,69,69,13,51,16,16,18,13,14,63,41,61,23,GK,2,1,Right,None,27,Spain,Liga F,Athletic Club,Cross Claimer,172.0,72.0
Nina Räcke,73,66,52,69,65,75,70,62,69,59,52,59,49,40,48,70,60,52,74,78,58,65,54,66,73,65,71,78,77,78,70,68,80,65,72,69,CB,2,2,Right,None,22,Germany,GPFBL,RB Leipzig,None,174.0,65.0
Nina Richard,73,69,59,67,74,66,58,73,65,74,59,58,62,51,44,78,47,43,75,71,54,76,69,85,70,73,73,73,46,65,72,61,58,70,52,59,CM,3,3,Right,CDM,24,France,Liga F,UD Tenerife,"First Touch, Press Proven",159.0,54.0
Andrea Falcón,73,72,68,73,74,52,61,70,73,70,72,67,66,48,58,67,78,57,75,71,78,77,67,72,67,76,61,52,44,48,63,42,58,63,60,60,LW,3,3,Left,"ST, LM",27,Spain,Liga Portugal Feminino,SL Benfica,Technical,173.0,63.0
Olatz Santana,73,70,72,66,74,42,74,38,48,10,10,50,8,9,12,32,11,14,15,22,10,12,59,46,70,14,32,16,15,11,17,20,48,19,37,18,GK,2,1,Right,None,27,Spain,Liga F,Real Sociedad,None,171.0,57.0
Bruninha,73,80,57,67,76,69,69,78,81,60,46,71,69,59,45,57,72,67,69,70,73,76,78,82,68,77,64,65,67,73,68,71,80,73,73,49,RB,3,2,Right,None,22,Brazil,NWSL,NJ/NY Gotham,"First Touch, Long Throw, Press Proven, Tiki Taka",157.0,61.0
Izarne Sarasola,73,65,59,72,67,74,60,68,63,61,59,62,61,55,40,60,74,50,80,75,62,65,71,61,75,70,66,75,82,77,70,64,78,62,56,61,LB,3,3,Left,None,22,Spain,Liga F,Real Sociedad,None,158.0,60.0
Jasmin Sehan,73,70,71,68,72,49,66,70,70,74,72,72,71,68,55,55,70,63,78,60,66,74,67,64,73,73,69,51,73,44,46,44,78,52,70,72,ST,2,3,Right,None,27,Germany,GPFBL,SV Werder Bremen,None,164.0,56.0
Jaedyn Shaw,73,81,70,71,71,44,64,80,82,73,69,77,66,71,67,64,70,67,76,70,71,71,70,64,70,75,66,41,66,35,50,34,77,67,66,52,RM,3,3,Right,"CAM, RW",19,United States,NWSL,San Diego Wave,"Incisive Pass, Pinged Pass",167.0,58.0
Marie-Morgane Sieber,73,73,69,68,75,43,73,47,37,9,14,51,12,10,14,31,15,12,27,24,17,15,41,53,70,19,36,15,12,16,15,12,57,34,51,27,GK,3,1,Right,None,22,France,Arkema PL,En Avant Guingamp,Cross Claimer,180.0,66.0
Caroline Siems,73,79,67,71,74,71,63,81,77,76,71,66,64,62,49,72,75,50,74,64,64,77,75,47,75,74,63,70,64,76,70,66,77,62,64,59,LB,2,3,Right,RB,25,Germany,GPFBL,SV Werder Bremen,"Block, Finesse Shot",164.0,57.0
Teninsoun Sissoko,73,64,46,63,61,75,71,59,68,56,43,59,36,39,53,59,58,33,71,68,48,59,51,54,73,66,65,69,76,75,78,73,72,66,74,68,CB,2,2,Right,None,32,France,Arkema PL,Paris FC,None,173.0,65.0
Lucy Staniforth,73,75,66,70,77,63,55,78,73,71,66,66,69,53,53,71,60,53,78,72,64,75,82,81,75,77,75,73,45,59,68,60,57,70,46,56,CM,3,3,Right,"CAM, CDM",31,England,Barclays WSL,Aston Villa,None,157.0,54.0
Julia Stierli,73,60,48,49,56,76,65,59,60,30,54,56,36,23,59,39,31,25,71,50,30,42,60,60,70,70,62,77,73,78,76,69,73,60,65,70,CB,2,2,Left,None,27,Switzerland,GPFBL,SC Freiburg,Bruiser,182.0,77.0
Eva Sumo,73,57,64,71,79,65,65,47,66,69,64,67,59,64,71,77,59,68,73,71,80,80,75,75,70,80,82,67,58,62,69,61,59,77,61,63,CM,4,3,Right,CDM,30,France,Arkema PL,FC Nantes,"Anticipate, Long Ball Pass, Press Proven",169.0,59.0
Katriina Talaslahti,73,73,70,70,77,48,74,45,53,8,14,53,12,10,15,37,14,13,28,27,20,16,37,53,64,25,39,19,9,18,14,10,63,30,67,31,GK,2,1,Right,None,23,Finland,Arkema PL,Dijon FCO,None,172.0,68.0
Meriame Terchoun,73,75,68,72,74,52,58,74,76,71,69,69,68,59,65,73,73,68,75,64,66,73,80,77,69,75,70,55,55,53,49,45,63,68,52,58,LM,3,3,Right,"RM, LW",28,Switzerland,Arkema PL,Dijon FCO,"Flair, Technical",162.0,55.0
Sam Tierney,73,72,68,64,68,73,72,72,72,72,73,64,64,61,61,63,49,60,75,67,55,65,73,76,75,67,69,78,58,76,74,67,73,77,71,66,CDM,3,2,Right,"CM, CB",25,England,Barclays WSL,Leicester City,None,167.0,59.0
Marta Unzué,73,66,72,72,64,72,67,65,67,73,74,72,69,69,70,75,65,72,75,70,69,55,67,69,69,72,75,75,60,72,75,70,68,67,66,71,CDM,3,3,Right,CM,36,Spain,Liga F,Athletic Club,None,170.0,59.0
Martyna Wiankowska,73,71,66,71,72,68,72,72,70,72,67,67,62,60,62,71,70,60,74,69,64,73,63,67,69,76,66,71,51,72,69,60,71,72,74,68,LM,3,2,Right,"RM, LB, LW",27,Poland,GPFBL,1. FC Köln,"Incisive Pass, Rapid, Whipped Pass",170.0,62.0
Verena Wieder,73,78,72,70,74,47,67,77,78,74,72,69,75,75,63,74,73,59,75,52,64,75,74,57,72,77,62,46,69,28,58,47,80,64,71,58,ST,2,2,Right,LM,24,Germany,GPFBL,SV Werder Bremen,None,175.0,64.0
Wu Chengshu,73,85,71,69,73,49,65,81,88,72,75,67,73,63,59,71,64,52,75,65,65,73,68,71,69,76,67,41,67,38,58,48,79,72,68,47,ST,4,3,Right,RM,28,China PR,Arkema PL,Dijon FCO,Rapid,166.0,55.0
Adriana Achcińska,72,41,62,65,67,65,63,50,34,68,64,63,63,38,60,75,42,40,73,72,60,68,34,70,77,73,66,78,45,62,70,54,57,70,70,38,CM,3,3,Right,None,22,Poland,GPFBL,1. FC Köln,None,165.0,56.0
Olga Ahtinen,72,59,61,64,71,58,62,68,52,72,68,45,68,35,46,75,42,45,73,70,39,75,54,72,65,73,68,71,46,37,72,65,61,68,64,50,CM,3,3,Right,None,27,Finland,Barclays WSL,Spurs,None,164.0,58.0
Amirah Ali,72,77,70,71,71,40,63,74,80,71,74,68,65,61,68,73,73,59,74,66,66,71,75,56,64,73,64,40,53,45,34,33,69,56,70,53,RM,3,3,Right,"LM, RW",25,United States,NWSL,San Diego Wave,None,173.0,63.0
Carla Andrés,72,75,58,68,66,74,67,77,73,64,51,65,68,51,59,65,61,60,75,70,62,60,73,66,59,74,66,80,66,75,74,70,77,63,70,60,CB,2,2,Right,CDM,21,Spain,Liga F,SD Eibar,None,170.0,60.0
Romy Baraniak,72,65,65,66,72,57,58,62,67,72,72,49,70,43,64,69,54,47,75,72,45,73,63,67,74,77,52,64,48,47,70,45,64,63,56,54,CM,3,3,Right,CAM,21,Germany,Schweizer Damen Liga,FC Zürich,None,169.0,60.0
Emma Berglund,72,64,30,56,62,73,73,63,65,36,26,38,27,25,45,28,69,52,68,47,58,54,72,63,75,65,78,73,77,70,75,70,82,77,75,60,CB,3,2,Right,None,35,Sweden,Sverige Liga,FC Rosengård,None,172.0,64.0
Luca-Emily Birkholz,72,72,72,63,70,53,67,71,72,78,74,72,69,66,70,59,60,63,68,59,59,68,70,71,72,73,71,40,73,38,69,55,79,69,69,55,ST,3,2,Right,RM,20,Germany,GPFBL,Carl Zeiss Jena,None,177.0,62.0
Jordyn Bloomer,72,70,68,67,77,45,72,46,43,9,8,50,11,9,18,34,8,12,29,24,10,7,36,58,67,11,29,9,11,8,13,8,57,35,52,13,GK,2,1,Right,None,26,United States,NWSL,Rac. Louisville,None,173.0,68.0
Anneke Borbe,72,70,69,74,71,45,73,47,41,12,16,56,18,5,56,60,21,23,15,14,15,15,43,32,68,14,19,12,12,9,17,19,64,22,65,31,GK,2,1,Right,None,23,Germany,GPFBL,VfL Wolfsburg,"Cross Claimer, Far Throw, Footwork",180.0,67.0
Simona Botero,72,72,39,54,51,71,73,71,72,41,31,52,45,31,41,49,51,38,64,52,39,32,60,65,78,65,71,72,71,71,71,70,82,70,75,71,CB,2,2,Right,None,29,Colombia,Liga F,RCD Espanyol,None,165.0,56.0
Marisa Bova,72,70,72,69,72,40,72,38,42,8,8,52,9,8,18,37,9,15,28,22,14,11,37,42,71,14,25,13,11,9,16,15,59,20,61,14,GK,2,1,Right,None,24,United States,NWSL,NC Courage,None,188.0,65.0
Millene Cabral,72,75,70,70,77,31,71,74,75,71,72,71,69,61,61,71,60,69,75,70,72,81,71,72,72,74,72,21,69,20,37,32,76,81,68,64,ST,3,4,Right,None,26,Spain,Liga F,RC Deportivo,None,164.0,57.0
Tiffany Cameron,72,80,73,65,76,67,67,79,80,72,79,71,69,52,65,63,63,59,72,56,57,77,78,73,66,74,81,60,60,69,71,65,76,69,70,56,ST,4,3,Right,RM,32,Jamaica,Liga F,Real Betis,None,165.0,56.0
Laura Camino,72,74,69,69,70,40,72,76,73,71,69,72,69,61,61,75,69,54,71,67,53,69,74,71,69,70,71,33,84,39,31,37,91,78,74,53,LM,3,3,Right,"LB, LW",22,Spain,Liga F,SD Eibar,None,170.0,60.0
Eileen Campbell,72,75,71,57,72,44,64,77,73,78,74,69,70,55,66,47,50,47,70,52,56,72,73,69,73,74,68,46,63,35,48,36,76,61,69,54,ST,3,3,Right,None,23,Austria,GPFBL,SC Freiburg,None,166.0,57.0
Noémie Carage,72,65,44,63,65,73,70,64,66,47,42,54,37,38,43,53,58,42,73,65,60,61,65,66,73,70,67,72,68,76,73,70,71,72,68,71,CB,3,2,Left,LB,28,France,Arkema PL,Dijon FCO,None,170.0,57.0
Sandra Castelló,72,58,64,65,67,68,74,56,59,70,63,69,70,32,50,72,45,60,75,65,55,65,63,66,75,71,65,70,45,71,71,65,62,79,75,70,CDM,3,3,Right,"CM, CB",31,Spain,Liga F,UD Tenerife,Anticipate,171.0,57.0
Ghizlane Chebbak,72,63,69,75,72,65,63,59,67,68,68,73,72,51,73,77,72,78,77,73,74,76,61,68,70,70,74,69,51,59,72,65,60,63,62,68,CM,3,3,Right,None,34,Morocco,Liga F,Levante Badalona,None,166.0,58.0
Jennifer Cramer,72,68,50,68,68,72,62,69,67,57,48,50,54,42,60,70,60,44,72,79,52,62,77,80,71,72,65,73,68,74,72,67,68,73,56,64,LB,3,3,Left,"LM, CM",31,Germany,GPFBL,Turbine Potsdam,None,168.0,58.0
Sana Daoudi,72,70,58,68,73,72,63,72,68,60,56,65,55,54,57,72,63,51,73,68,60,74,69,77,66,74,74,72,54,73,76,71,66,56,60,78,CDM,3,3,Right,CM,26,Morocco,Arkema PL,En Avant Guingamp,Intercept,162.0,60.0
Claudia Dickey,72,68,72,70,74,37,73,35,41,9,9,53,8,9,18,37,9,14,27,25,13,9,37,54,69,14,28,8,12,9,18,11,60,34,65,13,GK,2,1,Right,None,24,United States,NWSL,Seattle Reign,Cross Claimer,178.0,72.0
Rieke Dieckmann,72,68,67,74,70,63,69,72,64,76,69,68,62,59,54,72,74,64,78,73,64,71,52,74,69,74,73,64,52,65,64,65,71,67,73,62,CAM,2,3,Left,CM,28,Germany,GPFBL,SV Werder Bremen,Trivela,167.0,59.0
Leela Egli,72,69,62,68,72,36,57,71,67,67,69,62,54,42,51,71,69,37,72,69,44,73,73,71,73,73,52,28,45,24,48,41,57,66,53,56,LM,4,3,Right,"CAM, LW",17,Switzerland,GPFBL,SC Freiburg,None,168.0,64.0
Estela Férnandez,72,65,69,70,72,68,60,65,65,71,72,66,73,50,52,72,71,60,71,70,69,72,76,67,82,71,65,72,56,70,70,60,59,74,50,68,CM,3,3,Right,None,33,Spain,Liga F,Real Betis,None,169.0,62.0
Vanessa Fischer,72,69,70,71,70,35,72,39,29,5,10,53,15,13,51,70,13,23,59,38,17,13,28,49,73,14,29,25,6,22,14,12,53,41,52,31,GK,2,1,Right,None,26,Germany,GPFBL,Turbine Potsdam,None,182.0,68.0
Claudia Florentino,72,63,35,59,67,72,68,56,68,32,31,45,32,44,35,54,34,54,75,65,46,63,72,63,74,71,63,70,69,72,75,72,79,55,71,72,CB,3,2,Right,CM,26,Spain,Liga F,Valencia CF,Slide Tackle,164.0,54.0
Mandy Freeman,72,47,42,56,58,74,69,48,47,46,39,54,39,33,41,54,42,38,68,61,46,56,34,73,68,64,61,73,67,77,75,70,74,40,86,63,CB,2,2,Right,None,29,United States,NWSL,NJ/NY Gotham,None,173.0,70.0
Anna Gasper,72,75,60,72,74,63,62,78,72,75,61,57,58,58,59,73,72,62,74,70,69,75,73,62,66,78,68,69,59,57,66,68,72,75,61,46,CM,3,3,Right,"CDM, RW",27,Germany,Liga Portugal Feminino,SL Benfica,None,172.0,63.0
Anna Gerhardt,72,68,59,66,70,69,64,69,67,50,62,63,58,39,50,58,73,56,70,60,63,67,75,58,74,74,64,67,67,74,68,64,70,75,62,56,RB,3,3,Left,LB,26,Germany,GPFBL,1. FC Köln,None,167.0,57.0
